cpg_id,chr,start,target_gene,distance_bp
cg12459059,chr21,10884747,TPTE,21994
cg23347501,chr21,10884968,TPTE,21773
cg06651563,chr21,15309845,LOC110091776,3646
cg25507885,chr21,15436259,LIPI,44872
cg24803637,chr21,15444236,LIPI,36895
cg11601519,chr21,15451241,LIPI,29890
cg17675333,chr21,15451400,LIPI,29731
cg18017082,chr21,15455197,LIPI,25934
cg15235306,chr21,16440469,NRIP1,3149
cg20545330,chr21,17100365,USP25,1886
cg04685531,chr21,18988293,BTG3-AS1,1872
ch.21.17972289F,chr21,19050417,BTG3-AS1,63996
cg25387466,chr21,19195208,C21orf91,3536
cg00955547,chr21,19614111,CHODL,0
ch.21.18789295F,chr21,19867423,MIR548XHG,66158
ch.21.114870F,chr21,20466314,MIR548XHG,334185
ch.21.19455351R,chr21,20533479,MIR548XHG,401350
cg07033513,chr21,22367345,NCAM2,3380
cg01164574,chr21,22368939,NCAM2,1786
cg23720384,chr21,23747054,LINC00308,258208
cg25946965,chr21,25582900,LINC01689,93961
ch.21.25580530F,chr21,26658658,LINC00158,99473
cg05198244,chr21,26732917,LINC00158,25214
cg11575131,chr21,26733562,LINC00158,24569
cg21498326,chr21,26735729,LINC00158,22402
cg16786200,chr21,26930793,MIR155HG,3662
cg23804585,chr21,26983957,MRPL39,4165
cg24943066,chr21,27009141,JAM2,2427
cg14638315,chr21,27546071,APP,2626
cg10394068,chr21,28514325,ADAMTS5,174919
ch.21.27853252F,chr21,28931380,LINC00113,163316
ch.21.28584518R,chr21,29662646,LINC01695,61661
ch.21.284298R,chr21,30188219,N6AMT1,56292
cg24359868,chr21,30261523,N6AMT1,3829
cg23789846,chr21,30375226,RWDD2B,1477
cg14729175,chr21,30393308,RWDD2B,1617
cg25795774,chr21,30667399,BACH1,3842
ch.21.29704823F,chr21,30782951,BACH1-IT2,36652
cg20230411,chr21,31315998,GRIK1,3629
cg06086990,chr21,31970927,KRTAP6-2,76
cg19306866,chr21,31970996,KRTAP6-2,7
cg13315838,chr21,33029688,SOD1,2316
cg23200357,chr21,33108676,SCAF4,4246
cg15636421,chr21,33242494,HUNK,2837
cg11071242,chr21,33654979,MIS18A,3620
cg16826218,chr21,33768090,URB1-AS1,1825
cg13489127,chr21,33781500,EVA1C,2529
cg13095416,chr21,33941713,CFAP298-TCP10L,0
cg08209099,chr21,33942031,CFAP298-TCP10L,0
cg17263823,chr21,33942141,CFAP298-TCP10L,0
cg20059425,chr21,33942262,CFAP298-TCP10L,0
cg13695906,chr21,33942311,CFAP298-TCP10L,0
cg01082437,chr21,33945063,CFAP298-TCP10L,0
cg16580937,chr21,34347125,LINC01690,14254
cg03741824,chr21,34350406,LINC01690,17535
cg05183668,chr21,34350583,LINC01690,17712
cg11912202,chr21,34350874,LINC01690,18003
cg12349676,chr21,34350933,LINC01690,18062
cg04847841,chr21,34351147,LINC01690,18276
cg21147063,chr21,34354926,LINC01690,22055
cg03366312,chr21,34388563,OLIG2,9678
cg00118317,chr21,34392028,OLIG2,6213
cg24399395,chr21,34392202,OLIG2,6039
cg06412358,chr21,34392372,OLIG2,5869
cg13663738,chr21,34392755,OLIG2,5486
cg06212263,chr21,34392850,OLIG2,5391
cg02115911,chr21,34395547,OLIG2,2694
cg11215918,chr21,34395698,OLIG2,2543
cg10829693,chr21,34396220,OLIG2,2021
cg02139827,chr21,34404456,OLIG2,2966
cg14172108,chr21,34405552,OLIG2,4062
cg00274965,chr21,34405680,OLIG2,4190
cg10915739,chr21,34405732,OLIG2,4242
cg04836472,chr21,34405996,OLIG2,4506
cg13821571,chr21,34406536,OLIG2,5046
cg10477592,chr21,34406588,OLIG2,5098
cg06581978,chr21,34408890,OLIG2,7400
cg03534481,chr21,34439544,LINC00945,2160
cg24937995,chr21,34448037,OLIG1,3319
cg13015908,chr21,34481859,LOC101928107,2149
cg11851910,chr21,34482085,LOC101928107,1923
ch.21.33444458F,chr21,34522587,LINC01548,15187
cg10375884,chr21,34599968,IFNAR2,2230
cg11293610,chr21,34755680,IFNGR2,19520
cg23056155,chr21,34855565,TMEM50B,3250
cg05399211,chr21,35291410,ATP5PO,3303
cg08309687,chr21,35320595,LINC00649,0
cg27037013,chr21,35320666,LINC00649,0
cg27232166,chr21,35442066,SLC5A3,3810
cg00874051,chr21,35570815,LINC00310,8596
cg04096688,chr21,35574179,LINC00310,11960
cg12015097,chr21,35574323,LINC00310,12104
cg09506302,chr21,35574540,LINC00310,12321
ch.21.420934R,chr21,35598877,LINC00310,36658
cg04896620,chr21,35745354,KCNE2,1675
cg09964921,chr21,35885766,KCNE1,1259
cg02471848,chr21,35990153,RCAN1,2742
cg22560083,chr21,36038532,CLIC6,2759
ch.21.442315R,chr21,36478568,RUNX1,56970
cg09200260,chr21,36577538,RUNX1,155940
cg21172011,chr21,36577637,RUNX1,156039
cg03098981,chr21,37021314,LOC100506403,68253
ch.21.35952245R,chr21,37030374,MIR802,62637
cg00199065,chr21,37093339,MIR802,234
cg18546236,chr21,37255383,PPP1R2P2,3358
cg07330438,chr21,37258459,PPP1R2P2,282
cg11319265,chr21,37258821,PPP1R2P2,0
cg27533201,chr21,37259318,PPP1R2P2,0
cg00638202,chr21,37259423,PPP1R2P2,0
cg05409047,chr21,37259563,PPP1R2P2,0
cg06565377,chr21,37263528,PPP1R2P2,2804
cg12218747,chr21,37451665,LOC100133286,0
cg08632701,chr21,37451848,LOC100133286,0
cg11398623,chr21,37499188,LOC100133286,251
cg17499729,chr21,37504754,CBR3-AS1,0
cg02875805,chr21,37527188,CBR3-AS1,0
cg17752291,chr21,37528205,CBR3-AS1,0
cg26504019,chr21,37528662,CBR3-AS1,57
cg13753900,chr21,37528676,CBR3-AS1,71
cg02976054,chr21,37528767,CBR3-AS1,162
cg03239638,chr21,37529509,DOP1B,0
cg26205217,chr21,37529763,DOP1B,0
cg00622655,chr21,37667638,DOP1B,1067
cg24338411,chr21,37667809,DOP1B,1238
cg13402292,chr21,37667920,DOP1B,1349
cg01233397,chr21,37754780,CHAF1B,2908
ch.21.36723363F,chr21,37801492,CHAF1B,10180
cg23322242,chr21,37802564,CHAF1B,11252
cg19387359,chr21,38061987,SIM2,9426
cg06508062,chr21,38063871,SIM2,7542
cg19856593,chr21,38064235,SIM2,7178
cg25940392,chr21,38064698,SIM2,6715
cg18133531,chr21,38065183,SIM2,6230
cg00495860,chr21,38065523,SIM2,5890
cg10445315,chr21,38066046,SIM2,5367
cg03612413,chr21,38066917,SIM2,4496
cg22274813,chr21,38067100,SIM2,4313
cg16564033,chr21,38067740,SIM2,3673
cg08064488,chr21,38068042,SIM2,3371
cg24459147,chr21,38068580,SIM2,2833
cg24127719,chr21,38068659,SIM2,2754
cg09408917,chr21,38069320,SIM2,2093
cg17727929,chr21,38069337,SIM2,2076
cg06368184,chr21,38069415,SIM2,1998
cg02730156,chr21,38069949,SIM2,1464
cg24112562,chr21,38070040,SIM2,1373
cg26144458,chr21,38070147,SIM2,1266
cg27038480,chr21,38374376,RIPPLY3,4072
cg06592890,chr21,38376100,RIPPLY3,2348
cg18496653,chr21,38593041,DSCR9,0
cg15318396,chr21,38593283,DSCR9,0
cg15097762,chr21,38593635,DSCR9,0
cg09538135,chr21,38593662,DSCR9,0
cg15571330,chr21,38593691,DSCR9,0
cg11316868,chr21,38593753,DSCR9,0
cg15514380,chr21,38737242,DYRK1A,631
cg18566883,chr21,38919675,DYRK1A,21017
cg20208203,chr21,38932834,DYRK1A,34176
cg02010760,chr21,38934791,DYRK1A,36133
cg00359604,chr21,38935976,DYRK1A,37318
cg23484755,chr21,38935990,DYRK1A,37332
cg09962400,chr21,38936158,DYRK1A,37500
cg17383940,chr21,38936402,DYRK1A,37744
cg05422396,chr21,38936544,DYRK1A,37886
cg11022525,chr21,39600120,KCNJ15,1726
cg24018174,chr21,39748802,ERG,0
cg09546220,chr21,40036489,ERG,2783
cg13472610,chr21,40174790,ETS2,2315
cg24341911,chr21,40689520,BRWD1-AS1,0
cg01619490,chr21,40724241,HMGN1,3228
cg13299023,chr21,40748323,GET1,3845
ch.21.39866785R,chr21,40944914,B3GALT5-AS1,24159
ch.21.40139802R,chr21,41217931,PCP4,21431
cg08493762,chr21,42222712,DSCAM,3629
cg15377887,chr21,42440660,LINC00323,72765
cg03868978,chr21,42537293,MIR3197,2189
cg04047566,chr21,42675291,FAM3B,13435
cg18752716,chr21,42675734,FAM3B,12992
cg14641018,chr21,42676113,FAM3B,12613
cg01117788,chr21,42676248,FAM3B,12478
cg19968619,chr21,42676390,FAM3B,12336
cg19832832,chr21,42676781,FAM3B,11945
cg14179031,chr21,42679821,FAM3B,8905
cg24493120,chr21,42685305,FAM3B,3421
cg02057463,chr21,42789921,MX1,2562
cg00097639,chr21,43157460,RIPK4,2071
cg06230839,chr21,43189891,RIPK4,2680
cg22622328,chr21,43195070,RIPK4,7859
cg00152948,chr21,43197204,RIPK4,9993
cg14897238,chr21,43198282,RIPK4,11071
cg21863949,chr21,43198430,RIPK4,11219
cg02519892,chr21,43198585,RIPK4,11374
cg20533952,chr21,43198600,RIPK4,11389
cg10010393,chr21,43198626,RIPK4,11415
cg05532966,chr21,43198796,RIPK4,11585
cg15236484,chr21,43201903,RIPK4,14692
cg22990871,chr21,43377576,C2CD2,3450
cg23034420,chr21,43434316,ZNF295-AS1,0
cg10641258,chr21,43484278,UMODL1,0
cg13689342,chr21,43722760,ABCG1,5407
cg03630591,chr21,43724559,ABCG1,7206
cg06815826,chr21,43725201,TFF3,6574
cg24876492,chr21,43725881,TFF3,5894
cg25408700,chr21,43726164,TFF3,5611
cg01256260,chr21,43729656,TFF3,2119
cg18749097,chr21,44004594,SLC37A1,3063
cg03254566,chr21,44006595,SLC37A1,5064
cg04121561,chr21,44007549,SLC37A1,6018
cg24128931,chr21,44013596,LINC01671,5916
cg11304968,chr21,44016193,LINC01671,3319
cg18403852,chr21,44016327,LINC01671,3185
cg07391141,chr21,44035033,LINC01671,0
cg14719752,chr21,44037469,LINC01671,2265
cg25360059,chr21,44040168,LINC01671,4964
cg05030553,chr21,44061402,PDE9A,12327
cg04090347,chr21,44061596,PDE9A,12133
cg11852796,chr21,44062182,PDE9A,11547
cg07128124,chr21,44070429,PDE9A,3300
cg00699461,chr21,44071899,PDE9A,1830
cg27256292,chr21,44253114,WDR4,10074
cg26606789,chr21,44253218,WDR4,9970
cg06546183,chr21,44257071,WDR4,6117
cg23658739,chr21,44257295,WDR4,5893
cg03543861,chr21,44258194,WDR4,4994
cg24014805,chr21,44261236,WDR4,1952
cg23256367,chr21,44302283,WDR4,2585
cg08751406,chr21,44470899,CBS,2400
cg13222920,chr21,44512710,U2AF1,354
cg10957180,chr21,44531118,U2AF1L5,3403
cg04498775,chr21,44573061,FRGCA,11860
cg15231205,chr21,44573853,FRGCA,12652
cg22240717,chr21,44573946,FRGCA,12745
cg15467834,chr21,44574021,FRGCA,12820
cg11950299,chr21,44575180,CRYAA,13936
cg14627805,chr21,44576591,CRYAA,12525
cg26741373,chr21,44585505,CRYAA,3611
cg20954971,chr21,44593641,CRYAA,722
cg21895314,chr21,44593707,CRYAA,788
cg08247806,chr21,44596363,CRYAA,3444
cg05010111,chr21,44717774,LINC00322,24313
cg25410746,chr21,44720918,LINC00322,21169
cg08451325,chr21,44720983,LINC00322,21104
cg23060618,chr21,44721076,LINC00322,21011
cg09112190,chr21,44722857,LINC00322,19230
cg21386992,chr21,44724718,LINC00322,17369
ch.21.43554353R,chr21,44729924,LINC00322,12163
cg04781339,chr21,44781685,LINC01679,0
cg10251070,chr21,44781957,LINC01679,0
cg02260098,chr21,44782433,LINC01679,205
cg25191041,chr21,44782469,LINC01679,241
cg14081667,chr21,44782496,LINC01679,268
cg15555709,chr21,44786240,LINC01679,4012
cg23036852,chr21,44809982,SIK1,24379
cg08511764,chr21,44813352,SIK1,21009
cg15143447,chr21,44813377,SIK1,20984
cg07871532,chr21,44816570,SIK1,17791
cg19747745,chr21,44817304,SIK1,17057
cg26703511,chr21,44817419,SIK1,16942
cg02651190,chr21,44818923,SIK1,15438
cg15220969,chr21,44819111,SIK1,15250
cg17122157,chr21,44819444,SIK1,14917
cg09714100,chr21,44821391,SIK1,12970
cg13591648,chr21,44821450,SIK1,12911
cg18527771,chr21,44829110,SIK1,5251
cg19880185,chr21,44830845,SIK1,3516
cg11209957,chr21,44830920,SIK1,3441
cg03566291,chr21,44831039,SIK1,3322
cg04824511,chr21,44831061,SIK1,3300
cg16708938,chr21,44832349,SIK1,2012
cg08155625,chr21,44851243,SIK1,4233
cg06430509,chr21,44853469,SIK1,6459
cg08073507,chr21,44861616,LINC00319,4863
cg03385918,chr21,44862424,LINC00319,4055
cg17806069,chr21,44863610,LINC00319,2869
cg12111500,chr21,44863961,LINC00319,2518
cg09208331,chr21,44864003,LINC00319,2476
cg07856962,chr21,44864360,LINC00319,2119
cg08431893,chr21,44864599,LINC00319,1880
cg20341238,chr21,44865763,LINC00319,716
cg06965300,chr21,44867262,LINC00319,0
cg26106921,chr21,44875052,LINC00319,1271
cg27484412,chr21,44876686,LINC00319,2905
cg03160378,chr21,44880699,LINC01669,1139
cg10380293,chr21,44902814,LINC01669,3401
cg00775094,chr21,44904823,LINC01669,5410
cg04550439,chr21,44904940,LINC01669,5527
cg27462210,chr21,44905011,LINC01669,5598
cg12955277,chr21,44905063,LINC01669,5650
cg00929871,chr21,44905244,LINC01669,5831
cg14386999,chr21,44906671,LINC01669,7258
cg03692708,chr21,44908259,LINC01669,8846
ch.21.43742285F,chr21,44917856,LINC01669,18443
cg06279535,chr21,45135998,PDXK,3010
cg16149927,chr21,45198591,CSTB,2403
cg12249789,chr21,45203403,RRP1,6053
cg22669624,chr21,45205510,RRP1,3946
cg02956715,chr21,45206376,RRP1,3080
cg05529899,chr21,45206767,RRP1,2689
cg08650934,chr21,45246251,AATBC,13804
